,Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,ClusterLabel,MonetaryValue per 100 pounds
0,12346.0,169.36,2,2010-06-28 13:53:00,164,1,RE-ENGAGE,1.6936000000000002
1,12347.0,1323.32,2,2010-12-07 14:57:00,2,0,RETAIN,13.2332
2,12348.0,221.16,1,2010-09-27 14:59:00,73,2,NURTURE,2.2116
3,12349.0,2221.14,2,2010-10-28 08:23:00,42,0,RETAIN,22.211399999999998
4,12351.0,300.93,1,2010-11-29 15:23:00,10,2,NURTURE,3.0093
5,12352.0,343.8,2,2010-11-29 10:07:00,10,2,NURTURE,3.438
6,12353.0,317.76,1,2010-10-27 12:44:00,43,2,NURTURE,3.1776
7,12355.0,488.21000000000004,1,2010-05-21 11:59:00,202,1,RE-ENGAGE,4.8821
8,12356.0,3126.25,3,2010-11-24 12:24:00,15,3,REWARD,31.2625
10,12358.0,2519.01,3,2010-11-29 10:56:00,10,0,RETAIN,25.1901
11,12359.0,2563.36,6,2010-10-10 11:16:00,60,3,REWARD,25.6336
12,12360.0,1310.83,3,2010-11-12 11:31:00,27,0,RETAIN,13.1083
13,12361.0,276.35,3,2010-09-03 15:19:00,97,2,NURTURE,2.7635
14,12366.0,500.24,1,2010-03-16 10:28:00,268,1,RE-ENGAGE,5.0024
15,12368.0,917.6999999999999,1,2010-03-21 15:56:00,263,1,RE-ENGAGE,9.177
16,12369.0,1511.15,3,2010-10-22 13:13:00,48,0,RETAIN,15.111500000000001
17,12370.0,534.62,3,2010-03-25 12:10:00,259,1,RE-ENGAGE,5.3462
18,12371.0,1819.42,3,2010-10-26 13:37:00,44,0,RETAIN,18.194200000000002
19,12373.0,603.0500000000001,2,2010-03-25 13:49:00,259,1,RE-ENGAGE,6.030500000000001
20,12374.0,2046.29,2,2010-10-14 10:16:00,56,0,RETAIN,20.4629
21,12376.0,383.15,2,2010-11-15 12:15:00,24,2,NURTURE,3.8314999999999997
22,12377.0,1718.2,2,2010-11-23 19:24:00,16,0,RETAIN,17.182000000000002
23,12378.0,1407.7,1,2010-05-26 14:07:00,197,1,RE-ENGAGE,14.077
24,12379.0,692.98,2,2010-10-13 14:46:00,57,2,NURTURE,6.9298
26,12385.0,1668.4,1,2010-11-25 15:14:00,14,0,RETAIN,16.684
27,12386.0,258.9,1,2010-12-08 09:53:00,1,2,NURTURE,2.589
28,12387.0,143.94,1,2010-10-20 16:27:00,50,2,NURTURE,1.4394
29,12388.0,1120.45,2,2010-09-20 12:41:00,80,2,NURTURE,11.204500000000001
30,12389.0,1433.33,3,2010-11-02 11:52:00,37,0,RETAIN,14.3333
31,12391.0,2312.53,5,2010-09-01 12:38:00,99,3,REWARD,23.125300000000003
32,12392.0,234.75000000000003,1,2010-04-27 14:04:00,226,1,RE-ENGAGE,2.3475
33,12393.0,816.85,2,2010-11-22 16:10:00,17,2,NURTURE,8.1685
34,12395.0,1868.64,4,2010-12-03 16:35:00,6,0,RETAIN,18.686400000000003
35,12396.0,931.43,1,2010-02-03 13:22:00,309,1,RE-ENGAGE,9.3143
36,12399.0,808.65,3,2010-11-19 08:53:00,20,0,RETAIN,8.0865
37,12400.0,205.25,1,2010-10-21 13:45:00,49,2,NURTURE,2.0525
38,12402.0,941.3,5,2010-11-12 09:50:00,27,0,RETAIN,9.413
39,12403.0,555.6600000000001,1,2010-07-06 11:39:00,156,1,RE-ENGAGE,5.5566
40,12406.0,2975.06,3,2010-11-05 11:42:00,34,3,REWARD,29.7506
41,12408.0,1287.22,3,2010-11-19 13:21:00,20,0,RETAIN,12.8722
43,12410.0,240.38,1,2010-07-25 13:26:00,137,2,NURTURE,2.4038
44,12411.0,346.9,1,2010-10-26 09:25:00,44,2,NURTURE,3.469
45,12412.0,1262.05,3,2010-11-02 17:02:00,37,0,RETAIN,12.6205
46,12413.0,185.35,1,2010-11-02 13:26:00,37,2,NURTURE,1.8535
47,12414.0,90.0,1,2010-09-02 12:22:00,98,2,NURTURE,0.9
49,12416.0,202.56,1,2010-02-21 10:19:00,291,1,RE-ENGAGE,2.0256
50,12417.0,2791.81,11,2010-10-25 14:27:00,45,3,REWARD,27.9181
51,12418.0,1352.62,3,2010-10-22 10:29:00,48,0,RETAIN,13.5262
52,12419.0,391.01,2,2010-11-19 10:04:00,20,2,NURTURE,3.9101
53,12421.0,235.56,2,2010-10-20 14:28:00,50,2,NURTURE,2.3556
54,12422.0,2955.79,9,2010-11-10 13:19:00,29,3,REWARD,29.5579
55,12423.0,667.08,2,2010-11-17 11:33:00,22,2,NURTURE,6.670800000000001
56,12424.0,1579.07,2,2010-10-13 10:29:00,57,0,RETAIN,15.7907
57,12425.0,964.21,1,2010-09-17 14:10:00,83,2,NURTURE,9.642100000000001
58,12426.0,690.48,1,2010-02-15 08:41:00,297,1,RE-ENGAGE,6.9048
59,12427.0,249.5,1,2010-12-03 10:44:00,6,2,NURTURE,2.495
60,12429.0,3591.51,5,2010-12-09 12:05:00,0,3,REWARD,35.9151
63,12434.0,297.29,1,2010-11-23 13:38:00,16,2,NURTURE,2.9729
66,12439.0,1158.18,2,2010-01-26 12:11:00,317,1,RE-ENGAGE,11.581800000000001
67,12440.0,739.2,2,2010-09-03 13:11:00,97,2,NURTURE,7.392
68,12441.0,155.55,1,2010-12-08 10:45:00,1,2,NURTURE,1.5555
69,12443.0,365.31,1,2009-12-07 15:42:00,367,1,RE-ENGAGE,3.6531000000000002
70,12445.0,301.58000000000004,1,2010-10-15 12:28:00,55,2,NURTURE,3.0158000000000005
71,12449.0,678.6,1,2010-09-27 09:37:00,73,2,NURTURE,6.7860000000000005
72,12450.0,490.32,3,2010-11-05 16:27:00,34,2,NURTURE,4.9032
73,12451.0,3634.36,3,2010-09-02 15:38:00,98,3,REWARD,36.3436
75,12455.0,3383.09,4,2010-09-20 14:39:00,80,3,REWARD,33.8309
76,12457.0,512.68,1,2010-09-30 17:59:00,70,2,NURTURE,5.126799999999999
77,12458.0,715.09,2,2010-10-08 11:36:00,62,2,NURTURE,7.1509
78,12459.0,398.36,1,2010-04-13 14:53:00,240,1,RE-ENGAGE,3.9836
79,12460.0,296.65,1,2010-09-09 13:51:00,91,2,NURTURE,2.9665
80,12467.0,132.8,1,2010-10-12 15:41:00,58,2,NURTURE,1.328
81,12468.0,2581.2,3,2010-07-01 10:28:00,161,0,RETAIN,25.811999999999998
82,12469.0,3070.54,2,2010-07-05 12:40:00,157,0,RETAIN,30.7054
83,12470.0,211.95,1,2010-01-19 11:01:00,324,1,RE-ENGAGE,2.1195
87,12475.0,396.26,1,2010-10-26 08:49:00,44,2,NURTURE,3.9626
90,12480.0,1949.22,3,2010-11-05 15:08:00,34,0,RETAIN,19.4922
93,12483.0,2181.6,11,2010-11-26 12:35:00,13,3,REWARD,21.816
94,12484.0,1619.43,5,2010-08-13 13:45:00,118,0,RETAIN,16.194300000000002
95,12485.0,708.1,1,2010-06-28 15:22:00,164,1,RE-ENGAGE,7.081
96,12486.0,917.28,1,2010-10-04 12:14:00,66,2,NURTURE,9.1728
97,12487.0,285.29999999999995,1,2009-12-09 11:36:00,365,1,RE-ENGAGE,2.8529999999999998
99,12492.0,380.0,1,2010-11-01 14:58:00,38,2,NURTURE,3.8
100,12494.0,518.77,3,2010-12-09 11:31:00,0,2,NURTURE,5.1876999999999995
101,12495.0,277.4,1,2010-03-09 10:53:00,275,1,RE-ENGAGE,2.7739999999999996
102,12496.0,54.09,2,2010-03-29 14:06:00,255,1,RE-ENGAGE,0.5409
104,12499.0,357.72,1,2010-05-28 15:12:00,195,1,RE-ENGAGE,3.5772000000000004
105,12500.0,1499.39,7,2010-09-30 18:45:00,70,3,REWARD,14.993900000000002
106,12503.0,896.0,1,2010-05-04 13:59:00,219,1,RE-ENGAGE,8.96
107,12504.0,261.0,2,2010-10-18 15:09:00,52,2,NURTURE,2.61
108,12505.0,787.2,1,2010-10-27 09:18:00,43,2,NURTURE,7.872000000000001
109,12507.0,455.25,1,2010-05-04 09:23:00,219,1,RE-ENGAGE,4.5525
110,12510.0,2224.46,5,2010-09-06 14:27:00,94,3,REWARD,22.244600000000002
111,12511.0,3084.02,1,2010-10-07 10:39:00,63,0,RETAIN,30.8402
112,12514.0,580.08,1,2010-03-08 12:18:00,276,1,RE-ENGAGE,5.800800000000001
113,12516.0,1102.56,2,2010-10-05 09:43:00,65,2,NURTURE,11.025599999999999
114,12519.0,349.7,1,2010-08-20 08:21:00,111,2,NURTURE,3.497
117,12525.0,883.73,3,2010-07-29 16:08:00,133,0,RETAIN,8.8373
118,12527.0,386.8,2,2010-08-02 12:23:00,129,2,NURTURE,3.8680000000000003
119,12529.0,316.48,1,2010-06-29 13:10:00,163,1,RE-ENGAGE,3.1648
120,12530.0,1880.98,5,2010-10-20 15:15:00,50,0,RETAIN,18.8098
121,12531.0,1645.98,1,2010-01-22 14:17:00,321,1,RE-ENGAGE,16.4598
122,12533.0,1223.89,2,2010-03-22 10:56:00,262,1,RE-ENGAGE,12.238900000000001
123,12537.0,612.94,1,2010-10-27 08:36:00,43,2,NURTURE,6.1294
124,12538.0,276.5,1,2010-11-26 13:02:00,13,2,NURTURE,2.765
127,12542.0,481.88,2,2010-08-12 19:12:00,119,2,NURTURE,4.8187999999999995
128,12543.0,840.25,1,2010-09-17 15:51:00,83,2,NURTURE,8.4025
129,12547.0,147.78,1,2010-07-27 13:55:00,135,2,NURTURE,1.4778
130,12549.0,1570.68,5,2010-05-13 12:05:00,210,0,RETAIN,15.706800000000001
131,12553.0,826.47,2,2010-11-19 12:18:00,20,2,NURTURE,8.2647
132,12554.0,384.5,1,2010-09-17 12:29:00,83,2,NURTURE,3.845
134,12562.0,1041.18,2,2010-11-19 09:35:00,20,2,NURTURE,10.411800000000001
135,12563.0,221.24,1,2010-10-27 09:52:00,43,2,NURTURE,2.2124
137,12568.0,52.0,1,2010-03-05 09:15:00,279,1,RE-ENGAGE,0.52
138,12573.0,556.87,4,2010-11-23 13:01:00,16,0,RETAIN,5.5687
139,12575.0,568.8199999999999,2,2010-09-08 13:09:00,92,2,NURTURE,5.688199999999999
140,12576.0,746.89,3,2010-11-12 12:44:00,27,2,NURTURE,7.4689
141,12577.0,995.9499999999999,5,2010-11-23 14:06:00,16,0,RETAIN,9.959499999999998
142,12578.0,1623.94,2,2010-11-19 17:21:00,20,0,RETAIN,16.2394
143,12580.0,583.1999999999999,1,2010-05-12 11:45:00,211,1,RE-ENGAGE,5.831999999999999
144,12582.0,1469.04,2,2010-10-13 10:52:00,57,0,RETAIN,14.6904
146,12586.0,1865.73,3,2010-11-30 10:47:00,9,0,RETAIN,18.6573
147,12588.0,543.88,2,2010-11-05 12:38:00,34,2,NURTURE,5.4388
148,12589.0,2720.23,4,2010-10-14 11:54:00,56,3,REWARD,27.2023
149,12591.0,759.3,2,2010-11-14 14:32:00,25,2,NURTURE,7.593
150,12592.0,1322.04,2,2010-07-08 14:26:00,154,0,RETAIN,13.2204
151,12594.0,1681.89,5,2010-11-26 12:17:00,13,0,RETAIN,16.8189
152,12595.0,281.02,1,2010-07-23 09:10:00,139,2,NURTURE,2.8102
153,12598.0,1385.01,3,2010-09-02 14:22:00,98,0,RETAIN,13.8501
154,12599.0,1138.14,6,2010-11-23 15:49:00,16,0,RETAIN,11.381400000000001
155,12600.0,2133.31,11,2010-12-03 12:57:00,6,3,REWARD,21.333099999999998
156,12601.0,86.2,1,2010-10-31 10:57:00,39,2,NURTURE,0.862
157,12605.0,1124.95,3,2010-11-28 14:18:00,11,0,RETAIN,11.249500000000001
158,12608.0,415.79,1,2010-10-31 10:49:00,39,2,NURTURE,4.157900000000001
159,12609.0,2057.01,6,2010-11-30 14:48:00,9,3,REWARD,20.570100000000004
160,12613.0,3202.69,5,2010-11-16 17:17:00,23,3,REWARD,32.0269
161,12615.0,3269.79,4,2010-10-22 09:45:00,48,3,REWARD,32.6979
162,12616.0,381.8,1,2010-11-16 11:38:00,23,2,NURTURE,3.818
